question,answer
"Can I buy vending capsules to put inside it?","yes, the big bubble machine will vend 1 inch round toy capsules. It will not vend the acorn style. thank you Gumball Machine Factory"
"Can I get these in 1 lb packings?","yes"
"Can I get this personalized to say Congratulations instead of Happy Birthday?","yes, just send me your order number with your request"
"Can I grind this salt in a salt grinder?","yes, that's what I'm using it for as well"
"can I purchase GOOD SEASONS cruet Lids for my cruets/?--3 at use in our home","I don't know (sorry) but I'd surely like to buy some. How about it, Amazon??"
"can i put a drop or two in my 50/50 watermelon juice to sweeten it up a bit?","yes. no more than a drop or two. very concentrated."
"Can I see a nutritional label? How many carbs, per bag?","It has about 20g of carbs- you can get the nutritional info from myfitnesspal.com"
"Can i store tea bags in it? does it have holes underneath?","It is solid on the bottom, so tea bags may be able to be stored in it."
"Can I use CO2 chargers with this as well, or is it just N2O?","Just n2o. Co2 cylinders are larger and dont fit."
"Can I use instant masa to thicken chili or do I need to use regular masa?","that was a really good question. while i haven't done it i think it would work perfectly!"
"Can I use these sugar sheets with an edible ink printer?","Yes, I did it..and it worked beautifully :)"
"Can I use this on coconut for kefir?","I use it with coconut water. Works great!"
"can I use this to make tortillas with?","Yes, but I think you would need other flours as well. I use a combination of white rice flour, some bean flour, tapioca starch and potato starch."
"Can it be frozen?","No, you should never freeze a cheese. Cheese is living thing!!!!"
"can it be used in cake mixes","Go to bell plantation.com for recipes ideas."
"Can it be used past the expiration date?","Yes. IF you have had it frozen. If not just check for bugs upon opening."
"Can loose tea be used in these filters?","I've never tried that, but I don't see why not. They're great filters. Very sturdy."
"can these be cooked??","Oh yes! I love to stir fry them in olive oil and splash them with soy sauce when finished. They are delicious raw, steamed or thoroughly stir fried until wilted."
"Can these be shipped to Arizona in Summer.....and not arrive as Caramel Soup?","I'd say yes. They're not that soft. They're pretty sturdy as far as chocolates go..."
"Can these be used in baking, such as cheesecakes","Yes they can! I have used them in cakes and puddings"
"Can these be used to write on edible paper?","I would imagine so. I used them on computer paper just to test them out."
"Can these syrups be used with milk or cream as a substitute for refrigerated creamers? Thanks!","Yes to all. It is sweeted slightly but I use it with a refrigerated creamer. It's perfect"
"CAN THIS BE A GIFT","Sure parents who use formulas love gifts of formula"
"Can this be added to smoothies?","If you want to add to smoothies,I'd recommend grinding it up a little more first.Steel cut oats are very coarse and grainy,so add very little to your smoothie."
"Can this be added to water for a strawberry drink?","yes, it tastes like strawberry flavored sugar. i use it with water, milk, seltzer, pancakes, cereal, chocolate, etc...."
"Can this be done in a slow cooker?","Yes"
"Can this be mixed in whole milk?","You can mix it with water or milk. Mixing it with milk will make it thicker. But other than that no issues."
"Can this be personalized?","Yes this item can be personalized on the globe. The globe is glass and can be etched at an engraver."
"Can this be ship right away?","Yes it can be shipped immediately."
"Can this be used in the Nespresso Pixie machine?","Noooope - Keurig type machines only"
"Can this be used to make bulletproof coffee?","Yeah that's what I used it for."
"Can this cake topper be used on an ice cream cake?","Hi, I dont recommend this item. It didnt work for me. :("
"Can this fit on k cups for keurig 2.0 cups ?","Unfortunately I can't be of help here... We have a Hamilton Beach brewer"
"Can this make a mocha?","It does if you order the Mocha pods for the machine"
"Can this product be frozen into portions?","freezes very well"
"Can this root be pulverized and put into capsules?","yes, you may need a coffee grinder... I encapsulate mine :-)"
"Can this ship to Hong Kong","Good Morning, Thank you for your email. I can confirm hat we can ship to Hong Kong. I hope this helps! Kind Regards, Grace"
"can u mix it with regular weed to make it taste better??","No. Nothing tastes better than weed."
"Can you cook rice with this or are there better methods?","Sure you can use coconut water or any broth or liquid when preparing rice."
"Can you drink the tea as an Ice tea? Or does it have to be hot?","Hello, i drink it as an tea in the morning or an a lunch time and i like it very much. I did not test it as an ice tea."
"Can you drink this coffee at night and sleep ok?","Caffeine doesn't bother me so I can drink it. BUT it does have caffeine in it (and some sugar). I suspect that half a cup wouldn't bother you."
"Can you freeze it?","With such a high sugar content it lasts for way over a year at room temp as long as well sealed."
"Can you freeze them until you are ready to use them?","I don't think you would need to. I'd call the company and ask. :) if you shop around you will find these for less money."
"Can you juice bigger fruit like apples or is it just for grapes?","i have done apples and pomergrates in it it does work"
"Can you make the recipes with egg replacer?","I have made the pancakes without eggs and without egg replacer. I just added more liquid and it turned out well."
"Can you please please please tell me if these are gluten free thanks","I don't know whether was gluten within it or not. This was beautiful when my daughters had compounded it."
"Can you please tell me if this is the type of wheat berries that I can grow wheatgrass for juicing? Thank you.","I'm not sure I bought this to grow for my chickens!"
"Can you put the keurig on top of the dispenser?","Definitely."
"Can you ship this to the UK?","Nutricity does, indeed, ship to the UK! Please just ensure that your items are able to be accepted according to your local customs laws."
"Can you sprout these seeds?","yes you can sprout these seeds. You can also plant them. They can be cooked and used in so many different ways. These GMO FREE Garbanzo beans are great."
"Can you tell me if this is a peanut free product?","The ingredients say made with almonds........"
"Can you tell me the calories and calories from fat per serving?","Calorie and Fat ??? Doesn't matter ! You are using this as a flavoring agent... a spoonful at a time."
"Can you use almond milk to make yogart","I have not tried it - but my vegetarian daughter says you can use it successfully on Almond Milk."
"Can you use Kuerig cup coffee capsules in the Nespresso?","The Nespresso cups are much smaller. I think only those will fit."
"Can you use this in place of flour? Like on a cup for cup basis?","No, you can use it like his quick.."
"Can you use this on hair","No I don't like this product it s expire but the seller continue to sale"
"candy","Yes"
"cold","What is the question?"
"Comes with the connecter thing? I have gold medal 5300 but no tube to connect it to the cheese bag does this cheese bag come with the conector to 5300","Yes"
"conntry of origin somewhere","Packaged in the USA"
"conntry of origin somewhere","Packaged in the USA"
"Costco stopped carrying the small snack packs we buy for our toddler grandson-- how many packs are in this--6 or 36?","36 total individual packs, you get 6 6-packs."
"Could I get them unpitted? Or, could I also get a bag of the seeds?","no seeds"
"Could I use this in making flavored Chapstick?","I would assume so. I used it in frosting."
"Could this oil be used for oil pulling?","I presume it could, though I think pulling is typically done with a thinner oil like sunflower or safflower."
"Could you please tell me the current expiration date on your cans? Thanks!","May 2016"
"Could you please tell me the current expiration date?","Its on the package."
"Country of Origin?","China, I'm not so happy with it, because of that.i hope this was helpful."
"DEAR, COULD U SHIP THE PRODUCT TO CHINA DIRECTLY?","Yes, we do"
"Did the price really double on this?","yes, the price went up 2x. it's still available on walmart.com for half the price though"
"Do all three lids have the same size holes?","No, 3 different sizes to cover all seeds you might use."
"Do any of the sellers of Taste Nirvana Coconut Water ship to APO, AE 09330","Foodies General Store ships to APO, AE"
"do any of these flavors have dairy in them?","No they dont . But they are wonderful"
"Do it come with the yellow container it shows","No but the package comes with one you can fold out of it"
"do pumpkin seeds contain fructan?","Pumpkin seeds do not contain fructan. View this video please ----&gt; https://youtu.be/2ewyB2TpYDY"
"do the 12 packets add up to a total of 600g?","Should be. It is a lot."
"Do the beans themselves have any sugar content? I'm not talking about additives - Does vanilla itself contain sugar?","No. If you ever tasted vanilla extract, it is not sweet."
"Do the cranberries have added sugar?","Yes, they cranberries do have sugar. They are listed on the ingredients list as: cranberries (cranberries, sugar, cranberry seed oil)."
"Do the flavors besides the cappuccino have caffeine in them?","No caffeine If you r looking for something to give u a boost of energy this is not the product"
"do the instructions say in English too?","No but it shows how much water to add and it's pretty straight forward from there"
"Do the seed packets have wheat, rye, or barley?","Of the 12 packets one has Kamut wheatwheat. No rye or barley. A few have alfalfa."
"DO the seeds always have to be soaked? I just toast them as I do with almonds etc","No. We keep them in our freezer and eat them as is out of freezer. They're excellent tasting and as a food stuff."
"Do the snack sticks need to be refrigerated?","Depends on how long you are planning on keeping them. I've kept them unrefrigerated for a few weeks and they were fine."
"Do these Brazil nuts come unshelled or in the shell?","Unshelled. They taste delicious, very fresh and are organic!!!"
"do these candies have a sugar sour coating followed by vanella jelly bean inside?","Although very good, I would have to say that they do not have a vanilla jelly bean inside"
"Do these cartridges work in the Canon MG5520?","NO! I am having to return these because they do not work with the MG5520 or 5300."
"Do these cherries contain any oil?","I uses these in a dessert a while back. They are like any other dried fruit. I didn't notice thT they had oil in them. They were quite tasty."
"Do these come in a bag?","Yep, and are so good."
"Do these come vacuumed sealed?","yes they sure do"
"Do these contain food coloring?","Yes, they contain Yellow 5, Yellow 6, Blue 1, and Red 40."
"Do these contain Soy?","No."
"Do these cookies contain nuts?","no"
"Do these crackers contain any GMO ingredients?","I just bought a new box and the box says No GMO ingredients."
"Do these cups fit the newer 2.0 Keurig brewers?","No"
"Do these gummy worms have an expiration date?","Yes they do but it is not for like a year I bought them and loved them and when I get more money I am ordering more"
"Do these need fertilizer?","Yes they do. You can use a succulent plant spray every month with watering. 17-8-22 is what I use. Good Luck, If you get into this I have a lot of babies to share."
"Do these work with Keurig 2.0 or other newer keurig brewers?","ye"
"Do theses cashews come in the type of packaging shown in the picture?","Yes"
"do they add sugar or oils to this product?","Ingredients: Montmorency red tart cherries, sugar, sunflower oil (&lt;1%)"
"Do they have stems?","yes.. I bought them specifically for the stems."
"do you combine shipping on 3 bottles?","Hi, all my shipping if free for this item."
"Do you get just 8 individual tubs? Or do you get 8 2-packs? (16 tubs)","You get eight two packs. So yes 16 tubs."
"Do you guys sell the dark roast version?","I second this question."
"do you have a combined shipping rate for ordering multiple items at one time?","yes, amazon will combine the shipping cost if you purchase multiple items at once"
"do you have a list of ingredients?","Filtered water, organic soymilk, organic evaporated cane syrup, tricalcium phosphate, sea salt, vitamin A palmitate, vitamin D2."
"do you have cranberry snacks?","I'm sorry not at this time"
"do you have low sodium vegetable better than boulliom","I don't, sorry."
"Do you have same day delivery to Syracuse, ny","Unfortunately, we are not capable of doing that"
"Do you have the Cinnamon candy by itself?","yes we do"
"Do you have the ingredients list?","Water, Certified Organic Aloe Vera Inner Leaf Powder, Certified Organic Cane Sugar, Malic Acid, Natural Flavors, Certified Organic Stevia"
"Do you have to mix anything in to vape with this?","Don't put a full bottle of this in your ejuice, just a few drops and shake the bottle and let it sit for about 5 minutes"
"Do you have Wilton sugar pearl silver and gold?","Hi, Unfortunately we do not."
"do you make smoothies with this powder green tea","Yes it's good with vanilla protein powder and even better with a fruit smoothie"
"do you ship them internationally?","Yes, we do ship all over the world. Sweet Wise Team"
"Do you ship this sauce overseas?","Hello, We ship only to Canada and the contiguous U.S., so unfortunately we do not ship overseas. Happy Cooking! Aashika Mehta Ethnic Foods Co. 952-593-3000"
"Do you ship to APO AP?","Yes."
"do you ship to christchurch?","Yes, I will ship there if they will not."
"do you ship to Europe? What is the content weight of each pack?","I do ship to Europe. The package is about 4 pounds."
"do you ship to hawaii?","Yes, we certainly do ship to Hawaii!"
"Do you ship to Israel?","Yes, Depending on the items we can ship to Israel."
"Do you use non-gmo buckwheat?","Organic should mean non GMO."
"Do you use the Hibiscus Sabdariffa and do you include the calyces ?","I do not include the calyces."
"Do you use the same ratio as you would baking powder, ie: 1tsp baking powder = 1 tsp lievito?","Yes"
"Do you use with boiling water or can you make with cold water?","I always make it with cold water"
"Does 12.3 Ounce Tins (Pack of 2) mean that it's gonna be two tins of 12.3 oz each or two tins combined are 12.3 oz?","My order came in 2 tins."
"Does any one know what this honey is so good for?","this honey is an antibiotic"
"Does anybody know how many fruits this can produce?","To be honest, i don't think this will ever produce food its more of a plant to look at and say I have a bannana plant I'm sorry."
"Does anyone buy this just to add to the Great Northern packs? When we go to the theater we like to load our popcorn up with extra butter.","No"
"Does anyone ever fry their spring rolls?","Make sure the oil is very hot, they dissolve in warm liquid if they just sit."
"Does anyone have any advice on how to prevent the roots from molding ? Mine start molding after about 6 - 7 days? Refrigeration? Ziplock?","Refrigerator is better place to store"
"does anyone have any good frozen shake or smoothie recipes for this (choc) or any other flavor?","I just add a frozen banana and 2 tbsp. PB2, I like my smoothies thick so I add ice also."
"Does anyone know exactly what kind of vinegar this is?","It's just plain white vinegar"
"Does anyone know if the cans are BPA free?","I would check directly with the company. Since IT IS NOT stated on the can, I DOUBT they are BPA free."
"Does anyone know if there are solvent extracts used while expelling?","I don't really know but I certainly would hope not!!!"
"Does anyone know if this honey is packaged in BPA-free bottles?","The honey bottle is marked HDPE with recycle symbol 2. I believe this indicates that it is BPA-free."
"Does anyone know if this is Non-GMO?","All I know is that this garlic is grown in USA and I have never heard of an America garlic being GMO."
"Does anyone know if this will make a taco that will puff up when fried, to make a puffy taco?","never tried it. but it does puff up somewhat when place on a comal."
"does anyone know the name of the new postum and maker?","drink pero its much better that postum I did not care for the taste."
"Does every pack has individual package, or are they just wrapped with wilver paper?","Each bar is individually wrapped, as shown in the picture"
"Does Gochujang need to be refrigerated after opening?","Yes"
